distrito,region,piso,lat,lon,anio,mes_num,t2m,t2m_max,t2m_min,prectotcorr,rh2m,allsky_sfc_sw_dwn,ws2m,ps,gwetroot,ts,t2mdew,qv2m
El Carmen,Ica,costa,-13.4983,-76.0356,2020,4,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
El Carmen,Ica,costa,-13.4983,-76.0356,2020,5,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
El Carmen,Ica,costa,-13.4983,-76.0356,2020,6,17.99,24.05,13.9,0.0,72.46,12.75,3.12,95.94,0.32,18.7,12.55,9.59
El Carmen,Ica,costa,-13.4983,-76.0356,2020,7,17.13,23.99,13.47,0.0,68.67,13.58,3.02,95.91,0.32,17.81,10.82,8.58
El Carmen,Ica,costa,-13.4983,-76.0356,2020,8,17.29,23.4,12.52,0.01,66.76,15.62,3.22,95.95,0.32,18.49,10.55,8.42
El Carmen,Ica,costa,-13.4983,-76.0356,2020,9,17.45,23.34,12.88,0.02,67.25,20.42,3.16,95.93,0.32,18.96,10.92,8.59
El Carmen,Ica,costa,-13.4983,-76.0356,2020,10,18.82,24.54,14.29,0.05,66.83,23.51,3.04,95.85,0.32,20.74,12.18,9.32
El Carmen,Ica,costa,-13.4983,-76.0356,2020,11,18.71,24.74,13.74,0.07,69.5,23.63,2.97,95.91,0.32,20.86,12.59,9.59
El Carmen,Ica,costa,-13.4983,-76.0356,2020,12,20.07,26.16,16.07,0.53,75.41,23.33,2.53,95.83,0.33,21.81,15.36,11.45
El Carmen,Ica,costa,-13.4983,-76.0356,2021,1,21.38,27.07,17.64,0.29,75.34,24.74,2.6,95.73,0.34,23.18,16.58,12.4
El Carmen,Ica,costa,-13.4983,-76.0356,2021,2,21.98,27.58,17.74,0.19,72.22,24.51,2.33,95.75,0.33,23.7,16.47,12.35
El Carmen,Ica,costa,-13.4983,-76.0356,2021,3,22.04,26.93,18.24,0.37,75.46,23.68,2.25,95.76,0.33,23.35,17.26,12.96
El Carmen,Ica,costa,-13.4983,-76.0356,2021,4,20.27,25.98,15.54,0.26,74.79,21.71,2.85,95.79,0.34,21.46,15.36,11.47
El Carmen,Ica,costa,-13.4983,-76.0356,2021,5,19.22,25.07,14.53,0.04,71.79,15.44,3.02,95.92,0.33,19.91,13.57,10.24
El Carmen,Ica,costa,-13.4983,-76.0356,2021,6,18.26,24.59,13.84,0.02,69.78,11.59,3.22,95.99,0.33,18.91,12.13,9.36
El Carmen,Ica,costa,-13.4983,-76.0356,2021,7,17.73,24.39,13.65,0.0,70.51,11.75,3.5,95.97,0.33,18.47,11.86,9.14
El Carmen,Ica,costa,-13.4983,-76.0356,2021,8,17.67,24.29,12.82,0.01,67.43,14.5,3.63,96.0,0.32,18.74,11.1,8.69
El Carmen,Ica,costa,-13.4983,-76.0356,2021,9,17.64,23.92,12.89,0.04,68.23,19.17,3.65,95.94,0.32,19.11,11.31,8.79
El Carmen,Ica,costa,-13.4983,-76.0356,2021,10,17.96,23.73,12.98,0.06,67.47,22.23,3.62,95.9,0.32,19.69,11.41,8.86
El Carmen,Ica,costa,-13.4983,-76.0356,2021,11,18.47,23.89,14.2,0.18,72.74,23.0,3.16,95.91,0.32,20.24,13.08,9.9
El Carmen,Ica,costa,-13.4983,-76.0356,2021,12,19.42,25.23,15.47,0.26,75.89,23.33,3.19,95.84,0.33,21.33,14.77,11.02
El Carmen,Ica,costa,-13.4983,-76.0356,2022,1,21.04,26.65,17.35,0.3,77.84,25.12,3.19,95.84,0.33,22.87,16.78,12.54
El Carmen,Ica,costa,-13.4983,-76.0356,2022,2,20.83,26.13,17.22,0.45,78.37,23.77,2.86,95.81,0.33,22.42,16.67,12.47
El Carmen,Ica,costa,-13.4983,-76.0356,2022,3,21.13,26.62,17.37,0.34,76.46,22.94,2.7,95.77,0.34,22.49,16.57,12.4
El Carmen,Ica,costa,-13.4983,-76.0356,2022,4,19.67,25.45,14.67,0.14,72.61,20.9,2.91,95.78,0.33,20.6,14.28,10.7
El Carmen,Ica,costa,-13.4983,-76.0356,2022,5,18.49,24.61,13.58,0.09,68.45,17.94,2.62,95.91,0.33,18.98,12.02,9.31
El Carmen,Ica,costa,-13.4983,-76.0356,2022,6,17.01,23.94,11.88,0.02,71.14,14.47,2.92,95.99,0.33,17.47,11.27,8.82
El Carmen,Ica,costa,-13.4983,-76.0356,2022,7,16.93,22.69,12.86,0.01,70.56,12.96,3.53,95.95,0.33,17.6,11.18,8.73
El Carmen,Ica,costa,-13.4983,-76.0356,2022,8,16.95,23.06,12.39,0.01,67.46,13.73,3.33,95.94,0.32,17.95,10.41,8.31
El Carmen,Ica,costa,-13.4983,-76.0356,2022,9,17.32,24.98,12.58,0.0,63.21,18.67,3.62,95.95,0.32,18.6,9.58,7.92
El Carmen,Ica,costa,-13.4983,-76.0356,2022,10,17.39,23.55,11.74,0.01,63.94,22.61,3.4,95.95,0.32,19.07,9.89,8.06
El Carmen,Ica,costa,-13.4983,-76.0356,2022,11,18.8,25.72,13.54,0.01,69.06,23.38,3.19,95.89,0.32,20.72,12.5,9.58
El Carmen,Ica,costa,-13.4983,-76.0356,2022,12,20.25,25.79,15.37,0.14,77.06,23.39,3.09,95.82,0.32,22.13,15.8,11.83
El Carmen,Ica,costa,-13.4983,-76.0356,2023,1,21.16,25.44,17.06,0.31,77.62,24.09,2.67,95.82,0.33,22.79,16.86,12.62
El Carmen,Ica,costa,-13.4983,-76.0356,2023,2,22.44,27.3,19.28,0.41,79.95,23.42,2.54,95.7,0.33,23.9,18.59,14.1
El Carmen,Ica,costa,-13.4983,-76.0356,2023,3,22.82,28.21,19.77,0.22,79.26,21.69,2.54,95.78,0.33,24.35,18.8,14.28
El Carmen,Ica,costa,-13.4983,-76.0356,2023,4,22.69,28.74,18.48,0.06,77.3,21.03,3.46,95.73,0.33,24.21,18.18,13.77
El Carmen,Ica,costa,-13.4983,-76.0356,2023,5,21.03,27.01,17.01,0.05,71.65,13.64,3.46,95.82,0.33,22.07,15.26,11.45
El Carmen,Ica,costa,-13.4983,-76.0356,2023,6,19.97,26.56,15.55,0.0,69.87,11.79,3.26,95.86,0.33,20.72,13.75,10.43
El Carmen,Ica,costa,-13.4983,-76.0356,2023,7,19.51,25.51,15.25,0.0,71.6,11.85,3.47,95.89,0.32,20.54,13.78,10.4
El Carmen,Ica,costa,-13.4983,-76.0356,2023,8,19.57,25.62,14.89,0.01,70.11,14.39,3.41,95.89,0.32,20.97,13.51,10.2
El Carmen,Ica,costa,-13.4983,-76.0356,2023,9,19.56,25.59,15.2,0.05,70.11,18.27,3.64,95.82,0.32,21.16,13.54,10.22
El Carmen,Ica,costa,-13.4983,-76.0356,2023,10,19.85,25.55,15.54,0.05,73.91,21.24,3.53,95.86,0.32,21.66,14.79,11.02
El Carmen,Ica,costa,-13.4983,-76.0356,2023,11,20.21,25.98,15.34,0.09,70.76,23.18,3.49,95.78,0.32,22.05,14.32,10.75
El Carmen,Ica,costa,-13.4983,-76.0356,2023,12,20.95,26.06,16.34,0.48,76.08,23.58,3.52,95.74,0.33,22.77,16.32,12.19
El Carmen,Ica,costa,-13.4983,-76.0356,2024,1,22.7,28.82,18.69,0.2,78.74,24.02,3.33,95.77,0.33,24.57,18.58,14.08
El Carmen,Ica,costa,-13.4983,-76.0356,2024,2,23.67,28.76,20.24,0.47,78.91,24.57,3.23,95.78,0.33,25.57,19.57,14.96
El Carmen,Ica,costa,-13.4983,-76.0356,2024,3,22.99,27.91,19.37,0.36,78.62,22.78,2.89,95.78,0.34,24.42,18.86,14.3
El Carmen,Ica,costa,-13.4983,-76.0356,2024,4,21.46,26.61,16.96,0.11,77.93,20.52,3.06,95.82,0.34,22.77,17.2,12.88
El Carmen,Ica,costa,-13.4983,-76.0356,2024,5,19.73,25.47,15.26,0.07,70.38,15.52,3.02,95.81,0.33,20.36,13.74,10.41
El Carmen,Ica,costa,-13.4983,-76.0356,2024,6,18.37,24.96,14.12,0.04,69.63,11.91,2.66,95.94,0.33,18.81,12.25,9.4
El Carmen,Ica,costa,-13.4983,-76.0356,2024,7,17.99,23.59,13.35,0.01,67.55,13.25,3.21,95.91,0.33,18.57,11.42,8.92
El Carmen,Ica,costa,-13.4983,-76.0356,2024,8,18.14,25.16,12.82,0.0,64.3,14.87,3.3,95.98,0.32,19.02,10.68,8.52
El Carmen,Ica,costa,-13.4983,-76.0356,2024,9,18.81,24.54,13.54,0.07,64.27,16.29,3.37,95.81,0.32,20.12,11.48,8.93
El Carmen,Ica,costa,-13.4983,-76.0356,2024,10,19.36,25.44,14.67,0.08,65.85,20.8,3.02,95.88,0.32,20.95,12.28,9.44
El Carmen,Ica,costa,-13.4983,-76.0356,2024,11,19.44,24.46,14.93,0.33,74.98,22.93,2.93,95.89,0.33,21.11,14.58,10.89
El Carmen,Ica,costa,-13.4983,-76.0356,2024,12,20.29,25.67,16.77,0.22,77.21,24.29,3.02,95.83,0.33,21.98,15.96,11.87
El Carmen,Ica,costa,-13.4983,-76.0356,2025,1,21.5,26.36,18.1,0.35,77.14,24.52,2.67,95.85,0.33,23.2,17.09,12.78
El Carmen,Ica,costa,-13.4983,-76.0356,2025,2,22.17,26.86,19.51,1.69,82.99,22.06,2.46,95.75,0.35,23.48,19.0,14.42
El Carmen,Ica,costa,-13.4983,-76.0356,2025,3,22.0,27.64,18.89,1.11,80.76,22.57,2.6,95.81,0.38,23.18,18.35,13.84
El Carmen,Ica,costa,-13.4983,-76.0356,2025,4,20.65,26.26,16.68,0.25,76.19,21.62,2.52,95.8,0.37,21.54,16.02,11.97
El Carmen,Ica,costa,-13.4983,-76.0356,2025,5,19.76,25.05,15.75,0.09,73.11,15.99,2.57,95.86,0.35,20.38,14.47,10.83
El Carmen,Ica,costa,-13.4983,-76.0356,2025,6,18.05,23.54,13.86,2.43,78.54,10.56,3.19,95.96,0.41,18.54,14.02,10.47
El Carmen,Ica,costa,-13.4983,-76.0356,2025,7,17.96,23.62,13.6,0.02,73.71,11.25,3.21,95.95,0.4,18.44,12.86,9.74
El Carmen,Ica,costa,-13.4983,-76.0356,2025,8,17.74,24.3,13.02,0.02,68.9,14.11,3.32,95.99,0.37,18.64,11.51,8.94
El Carmen,Ica,costa,-13.4983,-76.0356,2025,9,18.5,24.68,13.71,0.07,68.57,18.18,3.23,95.94,0.35,19.83,12.21,9.34
El Carmen,Ica,costa,-13.4983,-76.0356,2025,10,18.83,24.85,14.14,0.14,70.34,22.13,3.08,95.89,0.34,20.48,12.88,9.77
El Carmen,Ica,costa,-13.4983,-76.0356,2025,11,19.41,26.19,14.81,0.03,70.22,25.16,3.08,95.82,0.34,21.23,13.41,10.12
El Carmen,Ica,costa,-13.4983,-76.0356,2025,12,20.21,26.27,15.32,0.06,72.42,24.28,3.01,95.82,0.33,22.15,14.67,11.0
Independencia,Ica,costa,-13.6917,-76.0042,2020,1,21.96,27.55,18.21,0.12,78.45,22.25,2.99,95.82,0.33,23.95,17.83,13.41
Independencia,Ica,costa,-13.6917,-76.0042,2020,2,22.85,27.98,19.51,0.16,79.22,23.67,2.84,95.77,0.33,24.72,18.86,14.31
Independencia,Ica,costa,-13.6917,-76.0042,2020,3,22.62,27.86,19.17,0.2,78.16,22.84,2.7,95.82,0.33,24.34,18.41,13.9
Independencia,Ica,costa,-13.6917,-76.0042,2020,4,21.48,27.26,16.69,0.04,73.38,22.14,2.7,95.9,0.33,22.83,16.13,12.1
Independencia,Ica,costa,-13.6917,-76.0042,2020,5,20.0,25.6,15.49,0.03,69.33,15.79,2.54,95.9,0.32,20.76,13.8,10.45
Independencia,Ica,costa,-13.6917,-76.0042,2020,6,17.99,24.05,13.9,0.0,72.46,12.75,3.12,95.94,0.32,18.7,12.55,9.59
Independencia,Ica,costa,-13.6917,-76.0042,2020,7,17.13,23.99,13.47,0.0,68.67,13.58,3.02,95.91,0.32,17.81,10.82,8.58
Independencia,Ica,costa,-13.6917,-76.0042,2020,8,17.29,23.4,12.52,0.01,66.76,15.62,3.22,95.95,0.32,18.49,10.55,8.42
Independencia,Ica,costa,-13.6917,-76.0042,2020,9,17.45,23.34,12.88,0.02,67.25,20.42,3.16,95.93,0.32,18.96,10.92,8.59
Independencia,Ica,costa,-13.6917,-76.0042,2020,10,18.82,24.54,14.29,0.05,66.83,23.51,3.04,95.85,0.32,20.74,12.18,9.32
Independencia,Ica,costa,-13.6917,-76.0042,2020,11,18.71,24.74,13.74,0.07,69.5,23.63,2.97,95.91,0.32,20.86,12.59,9.59
Independencia,Ica,costa,-13.6917,-76.0042,2020,12,20.07,26.16,16.07,0.53,75.41,23.33,2.53,95.83,0.33,21.81,15.36,11.45
Independencia,Ica,costa,-13.6917,-76.0042,2021,1,21.38,27.07,17.64,0.29,75.34,24.74,2.6,95.73,0.34,23.18,16.58,12.4
Independencia,Ica,costa,-13.6917,-76.0042,2021,2,21.98,27.58,17.74,0.19,72.22,24.51,2.33,95.75,0.33,23.7,16.47,12.35
Independencia,Ica,costa,-13.6917,-76.0042,2021,3,22.04,26.93,18.24,0.37,75.46,23.68,2.25,95.76,0.33,23.35,17.26,12.96
Independencia,Ica,costa,-13.6917,-76.0042,2021,4,20.27,25.98,15.54,0.26,74.79,21.71,2.85,95.79,0.34,21.46,15.36,11.47
Independencia,Ica,costa,-13.6917,-76.0042,2021,5,19.22,25.07,14.53,0.04,71.79,15.44,3.02,95.92,0.33,19.91,13.57,10.24
Independencia,Ica,costa,-13.6917,-76.0042,2021,6,18.26,24.59,13.84,0.02,69.78,11.59,3.22,95.99,0.33,18.91,12.13,9.36
Independencia,Ica,costa,-13.6917,-76.0042,2021,7,17.73,24.39,13.65,0.0,70.51,11.75,3.5,95.97,0.33,18.47,11.86,9.14
Independencia,Ica,costa,-13.6917,-76.0042,2021,8,17.67,24.29,12.82,0.01,67.43,14.5,3.63,96.0,0.32,18.74,11.1,8.69
Independencia,Ica,costa,-13.6917,-76.0042,2021,9,17.64,23.92,12.89,0.04,68.23,19.17,3.65,95.94,0.32,19.11,11.31,8.79
Independencia,Ica,costa,-13.6917,-76.0042,2021,10,17.96,23.73,12.98,0.06,67.47,22.23,3.62,95.9,0.32,19.69,11.41,8.86
Independencia,Ica,costa,-13.6917,-76.0042,2021,11,18.47,23.89,14.2,0.18,72.74,23.0,3.16,95.91,0.32,20.24,13.08,9.9
Independencia,Ica,costa,-13.6917,-76.0042,2021,12,19.42,25.23,15.47,0.26,75.89,23.33,3.19,95.84,0.33,21.33,14.77,11.02
Independencia,Ica,costa,-13.6917,-76.0042,2022,1,21.04,26.65,17.35,0.3,77.84,25.12,3.19,95.84,0.33,22.87,16.78,12.54
Independencia,Ica,costa,-13.6917,-76.0042,2022,2,20.83,26.13,17.22,0.45,78.37,23.77,2.86,95.81,0.33,22.42,16.67,12.47
Independencia,Ica,costa,-13.6917,-76.0042,2022,3,21.13,26.62,17.37,0.34,76.46,22.94,2.7,95.77,0.34,22.49,16.57,12.4
Independencia,Ica,costa,-13.6917,-76.0042,2022,4,19.67,25.45,14.67,0.14,72.61,20.9,2.91,95.78,0.33,20.6,14.28,10.7
Independencia,Ica,costa,-13.6917,-76.0042,2022,5,18.49,24.61,13.58,0.09,68.45,17.94,2.62,95.91,0.33,18.98,12.02,9.31
Independencia,Ica,costa,-13.6917,-76.0042,2022,6,17.01,23.94,11.88,0.02,71.14,14.47,2.92,95.99,0.33,17.47,11.27,8.82
Independencia,Ica,costa,-13.6917,-76.0042,2022,7,16.93,22.69,12.86,0.01,70.56,12.96,3.53,95.95,0.33,17.6,11.18,8.73
